Interval,GMTIntervalEnd,STLF,MTLF,Actual Load,STWF,MTWF,Actual Wind, STSF, MTSF, Actual Solar
06/14/2020 19:50:00,06/15/2020 00:50:00,,,,,,,,,
06/14/2020 19:45:00,06/15/2020 00:45:00,,,,,,,,,
06/14/2020 19:40:00,06/15/2020 00:40:00,,,,,,,,,
06/14/2020 19:35:00,06/15/2020 00:35:00,,,,,,,,,
06/14/2020 19:30:00,06/15/2020 00:30:00,,,,,,,,,
06/14/2020 19:25:00,06/15/2020 00:25:00,,,,,,,,,
06/14/2020 19:20:00,06/15/2020 00:20:00,,,,,,,,,
06/14/2020 19:15:00,06/15/2020 00:15:00,,,,,,,,,
06/14/2020 19:10:00,06/15/2020 00:10:00,,,,,,,,,
06/14/2020 19:05:00,06/15/2020 00:05:00,,,,,,,,,
06/14/2020 19:00:00,06/15/2020 00:00:00,,37111.097,,,14530.050,,,186.490,
06/14/2020 18:55:00,06/14/2020 23:55:00,,,,,,,,,
06/14/2020 18:50:00,06/14/2020 23:50:00,,,,,,,,,
06/14/2020 18:45:00,06/14/2020 23:45:00,,,,,,,,,
06/14/2020 18:40:00,06/14/2020 23:40:00,,,,,,,,,
06/14/2020 18:35:00,06/14/2020 23:35:00,,,,,,,,,
06/14/2020 18:30:00,06/14/2020 23:30:00,,,,,,,,,
06/14/2020 18:25:00,06/14/2020 23:25:00,,,,,,,,,
06/14/2020 18:20:00,06/14/2020 23:20:00,,,,,,,,,
06/14/2020 18:15:00,06/14/2020 23:15:00,,,,,,,,,
06/14/2020 18:10:00,06/14/2020 23:10:00,,,,,,,,,
06/14/2020 18:05:00,06/14/2020 23:05:00,,,,,,,,,
06/14/2020 18:00:00,06/14/2020 23:00:00,,37541.229,,,14469.230,,,213.570,
06/14/2020 17:55:00,06/14/2020 22:55:00,,,,,,,,,
06/14/2020 17:50:00,06/14/2020 22:50:00,,,,,,,,,
06/14/2020 17:45:00,06/14/2020 22:45:00,,,,,,,,,
06/14/2020 17:40:00,06/14/2020 22:40:00,,,,,,,,,
06/14/2020 17:35:00,06/14/2020 22:35:00,,,,,,,,,
06/14/2020 17:30:00,06/14/2020 22:30:00,,,,,,,,,
06/14/2020 17:25:00,06/14/2020 22:25:00,,,,,,,,,
06/14/2020 17:20:00,06/14/2020 22:20:00,,,,,,,,,
06/14/2020 17:15:00,06/14/2020 22:15:00,,,,,,,,,
06/14/2020 17:10:00,06/14/2020 22:10:00,,,,,,,,,
